Day:1 非感染:974 潜伏:16 発症:10 回復:0 死亡:0
Day:2 非感染:966 潜伏:24 発症:10 回復:0 死亡:0
Day:3 非感染:948 潜伏:38 発症:14 回復:0 死亡:0
Day:4 非感染:933 潜伏:52 発症:15 回復:0 死亡:0
Day:5 非感染:912 潜伏:61 発症:27 回復:0 死亡:0
Day:6 非感染:861 潜伏:106 発症:33 回復:0 死亡:0
Day:7 非感染:819 潜伏:131 発症:50 回復:0 死亡:0
Day:8 非感染:758 潜伏:169 発症:73 回復:0 死亡:0
Day:9 非感染:694 潜伏:209 発症:97 回復:0 死亡:0
Day:10 非感染:629 潜伏:232 発症:139 回復:0 死亡:0
Day:11 非感染:626 潜伏:195 発症:176 回復:2 死亡:1
Day:12 非感染:619 潜伏:145 発症:232 回復:3 死亡:1
Day:13 非感染:618 潜伏:114 発症:256 回復:10 死亡:2
Day:14 非感染:615 潜伏:83 発症:290 回復:10 死亡:2
Day:15 非感染:607 潜伏:72 発症:299 回復:20 死亡:2
Day:16 非感染:598 潜伏:51 発症:326 回復:23 死亡:2
Day:17 非感染:595 潜伏:49 発症:317 回復:34 死亡:5
Day:18 非感染:590 潜伏:42 発症:308 回復:53 死亡:7
Day:19 非感染:587 潜伏:37 発症:298 回復:69 死亡:9
Day:20 非感染:585 潜伏:29 発症:287 回復:89 死亡:10
Day:21 非感染:582 潜伏:21 発症:259 回復:126 死亡:12
Day:22 非感染:578 潜伏:22 発症:215 回復:169 死亡:16
Day:23 非感染:575 潜伏:21 発症:191 回復:194 死亡:19
Day:24 非感染:573 潜伏:19 発症:157 回復:229 死亡:22
Day:25 非感染:572 潜伏:17 発症:132 回復:253 死亡:26
Day:26 非感染:568 潜伏:18 発症:94 回復:289 死亡:31
Day:27 非感染:568 潜伏:15 発症:74 回復:311 死亡:32
Day:28 非感染:568 潜伏:11 発症:53 回復:332 死亡:36
Day:29 非感染:567 潜伏:10 発症:47 回復:339 死亡:37
Day:30 非感染:567 潜伏:4 発症:32 回復:359 死亡:38
Day:31 非感染:566 潜伏:4 発症:27 回復:365 死亡:38
Day:32 非感染:566 潜伏:4 発症:23 回復:369 死亡:38
Day:33 非感染:565 潜伏:5 発症:19 回復:373 死亡:38
Day:34 非感染:565 潜伏:5 発症:15 回復:376 死亡:39
Day:35 非感染:565 潜伏:1 発症:16 回復:379 死亡:39
Day:36 非感染:564 潜伏:1 発症:13 回復:383 死亡:39
Day:37 非感染:564 潜伏:1 発症:12 回復:384 死亡:39
Day:38 非感染:564 潜伏:1 発症:9 回復:387 死亡:39
Day:39 非感染:564 潜伏:1 発症:7 回復:389 死亡:39
Day:40 非感染:564 潜伏:0 発症:7 回復:389 死亡:40
Day:41 非感染:564 潜伏:0 発症:7 回復:389 死亡:40
Day:42 非感染:564 潜伏:0 発症:5 回復:389 死亡:42
Day:43 非感染:564 潜伏:0 発症:4 回復:390 死亡:42
Day:44 非感染:564 潜伏:0 発症:4 回復:390 死亡:42
Day:45 非感染:564 潜伏:0 発症:3 回復:391 死亡:42
Day:46 非感染:564 潜伏:0 発症:3 回復:391 死亡:42
Day:47 非感染:564 潜伏:0 発症:1 回復:393 死亡:42
Day:48 非感染:564 潜伏:0 発症:1 回復:393 死亡:42
Day:49 非感染:564 潜伏:0 発症:1 回復:393 死亡:42
Day:50 非感染:564 潜伏:0 発症:1 回復:393 死亡:42
Day:51 非感染:564 潜伏:0 発症:1 回復:393 死亡:42
Day:52 非感染:564 潜伏:0 発症:1 回復:393 死亡:42
Day:53 非感染:564 潜伏:0 発症:1 回復:393 死亡:42
Day:54 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:55 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:56 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:57 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:58 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:59 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:60 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:61 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:62 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:63 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:64 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:65 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:66 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:67 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:68 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:69 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:70 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:71 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:72 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:73 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:74 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:75 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:76 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:77 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:78 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:79 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
Day:80 非感染:564 潜伏:0 発症:0 回復:394 死亡:42
