Day:1 非感染:973 潜伏:17 発症:10 回復:0 死亡:0
Day:2 非感染:965 潜伏:25 発症:10 回復:0 死亡:0
Day:3 非感染:945 潜伏:39 発症:16 回復:0 死亡:0
Day:4 非感染:929 潜伏:53 発症:18 回復:0 死亡:0
Day:5 非感染:888 潜伏:81 発症:31 回復:0 死亡:0
Day:6 非感染:844 潜伏:115 発症:41 回復:0 死亡:0
Day:7 非感染:792 潜伏:144 発症:64 回復:0 死亡:0
Day:8 非感染:788 潜伏:129 発症:83 回復:0 死亡:0
Day:9 非感染:784 潜伏:98 発症:118 回復:0 死亡:0
Day:10 非感染:782 潜伏:81 発症:137 回復:0 死亡:0
Day:11 非感染:778 潜伏:56 発症:163 回復:2 死亡:1
Day:12 非感染:770 潜伏:46 発症:181 回復:2 死亡:1
Day:13 非感染:761 潜伏:39 発症:190 回復:8 死亡:2
Day:14 非感染:752 潜伏:44 発症:192 回復:10 死亡:2
Day:15 非感染:744 潜伏:45 発症:185 回復:23 死亡:3
Day:16 非感染:735 潜伏:47 発症:188 回復:26 死亡:4
Day:17 非感染:728 潜伏:42 発症:182 回復:43 死亡:5
Day:18 非感染:724 潜伏:39 発症:175 回復:55 死亡:7
Day:19 非感染:720 潜伏:34 発症:154 回復:83 死亡:9
Day:20 非感染:716 潜伏:32 発症:147 回復:95 死亡:10
Day:21 非感染:711 潜伏:27 発症:131 回復:121 死亡:10
Day:22 非感染:709 潜伏:18 発症:123 回復:136 死亡:14
Day:23 非感染:703 潜伏:22 発症:98 回復:160 死亡:17
Day:24 非感染:700 潜伏:21 発症:89 回復:173 死亡:17
Day:25 非感染:695 潜伏:22 発症:72 回復:190 死亡:21
Day:26 非感染:695 潜伏:18 発症:64 回復:201 死亡:22
Day:27 非感染:695 潜伏:10 発症:63 回復:209 死亡:23
Day:28 非感染:692 潜伏:13 発症:55 回復:216 死亡:24
Day:29 非感染:691 潜伏:12 発症:54 回復:219 死亡:24
Day:30 非感染:690 潜伏:11 発症:50 回復:225 死亡:24
Day:31 非感染:690 潜伏:8 発症:41 回復:234 死亡:27
Day:32 非感染:689 潜伏:8 発症:37 回復:239 死亡:27
Day:33 非感染:689 潜伏:6 発症:35 回復:243 死亡:27
Day:34 非感染:686 潜伏:8 発症:30 回復:248 死亡:28
Day:35 非感染:683 潜伏:11 発症:26 回復:252 死亡:28
Day:36 非感染:681 潜伏:11 発症:22 回復:258 死亡:28
Day:37 非感染:680 潜伏:10 発症:20 回復:262 死亡:28
Day:38 非感染:677 潜伏:10 発症:18 回復:264 死亡:31
Day:39 非感染:675 潜伏:9 発症:16 回復:269 死亡:31
Day:40 非感染:675 潜伏:5 発症:19 回復:270 死亡:31
Day:41 非感染:675 潜伏:3 発症:18 回復:273 死亡:31
Day:42 非感染:674 潜伏:4 発症:17 回復:273 死亡:32
Day:43 非感染:674 潜伏:4 発症:15 回復:275 死亡:32
Day:44 非感染:672 潜伏:4 発症:16 回復:276 死亡:32
Day:45 非感染:671 潜伏:4 発症:16 回復:276 死亡:33
Day:46 非感染:671 潜伏:4 発症:16 回復:276 死亡:33
Day:47 非感染:671 潜伏:3 発症:17 回復:276 死亡:33
Day:48 非感染:671 潜伏:2 発症:17 回復:276 死亡:34
Day:49 非感染:671 潜伏:2 発症:16 回復:277 死亡:34
Day:50 非感染:671 潜伏:1 発症:15 回復:278 死亡:35
Day:51 非感染:670 潜伏:2 発症:13 回復:280 死亡:35
Day:52 非感染:670 潜伏:2 発症:10 回復:282 死亡:36
Day:53 非感染:670 潜伏:1 発症:9 回復:284 死亡:36
Day:54 非感染:670 潜伏:0 発症:7 回復:286 死亡:37
Day:55 非感染:669 潜伏:1 発症:6 回復:287 死亡:37
Day:56 非感染:669 潜伏:1 発症:6 回復:287 死亡:37
Day:57 非感染:669 潜伏:0 発症:7 回復:287 死亡:37
Day:58 非感染:669 潜伏:0 発症:5 回復:289 死亡:37
Day:59 非感染:669 潜伏:0 発症:4 回復:290 死亡:37
Day:60 非感染:669 潜伏:0 発症:3 回復:291 死亡:37
Day:61 非感染:669 潜伏:0 発症:3 回復:291 死亡:37
Day:62 非感染:669 潜伏:0 発症:3 回復:291 死亡:37
Day:63 非感染:669 潜伏:0 発症:3 回復:291 死亡:37
Day:64 非感染:669 潜伏:0 発症:2 回復:292 死亡:37
Day:65 非感染:669 潜伏:0 発症:2 回復:292 死亡:37
Day:66 非感染:669 潜伏:0 発症:2 回復:292 死亡:37
Day:67 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:68 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:69 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:70 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:71 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:72 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:73 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:74 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:75 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:76 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:77 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:78 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:79 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:80 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:81 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:82 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:83 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:84 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:85 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:86 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:87 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:88 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:89 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:90 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:91 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:92 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:93 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:94 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:95 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:96 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:97 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:98 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:99 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
Day:100 非感染:669 潜伏:0 発症:0 回復:294 死亡:37
