Day:1 非感染:974 潜伏:16 発症:10 回復:0 死亡:0
Day:2 非感染:966 潜伏:24 発症:10 回復:0 死亡:0
Day:3 非感染:944 潜伏:40 発症:16 回復:0 死亡:0
Day:4 非感染:929 潜伏:54 発症:17 回復:0 死亡:0
Day:5 非感染:900 潜伏:68 発症:32 回復:0 死亡:0
Day:6 非感染:846 潜伏:108 発症:46 回復:0 死亡:0
Day:7 非感染:784 潜伏:147 発症:69 回復:0 死亡:0
Day:8 非感染:705 潜伏:207 発症:88 回復:0 死亡:0
Day:9 非感染:641 潜伏:243 発症:116 回復:0 死亡:0
Day:10 非感染:579 潜伏:263 発症:158 回復:0 死亡:0
Day:11 非感染:535 潜伏:256 発症:206 回復:2 死亡:1
Day:12 非感染:518 潜伏:212 発症:267 回復:2 死亡:1
Day:13 非感染:512 潜伏:170 発症:310 回復:7 死亡:1
Day:14 非感染:504 潜伏:138 発症:349 回復:8 死亡:1
Day:15 非感染:503 潜伏:99 発症:374 回復:22 死亡:2
Day:16 非感染:501 潜伏:68 発症:396 回復:33 死亡:2
Day:17 非感染:500 潜伏:56 発症:390 回復:51 死亡:3
Day:18 非感染:500 潜伏:46 発症:386 回復:64 死亡:4
Day:19 非感染:500 潜伏:35 発症:369 回復:87 死亡:9
Day:20 非感染:500 潜伏:23 発症:349 回復:118 死亡:10
Day:21 非感染:500 潜伏:19 発症:318 回復:150 死亡:13
Day:22 非感染:500 潜伏:11 発症:277 回復:195 死亡:17
Day:23 非感染:500 潜伏:7 発症:240 回復:232 死亡:21
Day:24 非感染:500 潜伏:4 発症:196 回復:275 死亡:25
Day:25 非感染:500 潜伏:2 発症:143 回復:321 死亡:34
Day:26 非感染:500 潜伏:0 発症:104 回復:361 死亡:35
Day:27 非感染:500 潜伏:0 発症:73 回復:385 死亡:42
Day:28 非感染:500 潜伏:0 発症:40 回復:417 死亡:43
Day:29 非感染:500 潜伏:0 発症:25 回復:430 死亡:45
Day:30 非感染:500 潜伏:0 発症:16 回復:439 死亡:45
Day:31 非感染:500 潜伏:0 発症:9 回復:445 死亡:46
Day:32 非感染:500 潜伏:0 発症:4 回復:449 死亡:47
Day:33 非感染:500 潜伏:0 発症:3 回復:450 死亡:47
Day:34 非感染:500 潜伏:0 発症:1 回復:452 死亡:47
Day:35 非感染:500 潜伏:0 発症:1 回復:452 死亡:47
Day:36 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:37 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:38 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:39 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:40 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:41 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:42 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:43 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:44 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:45 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:46 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:47 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:48 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:49 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
Day:50 非感染:500 潜伏:0 発症:0 回復:453 死亡:47
