Day:1 非感染:948 潜伏:42 発症:10 回復:0 死亡:0
Day:2 非感染:731 潜伏:259 発症:10 回復:0 死亡:0
Day:3 非感染:461 潜伏:516 発症:20 回復:3 死亡:0
Day:4 非感染:358 潜伏:541 発症:98 回復:3 死亡:0
Day:5 非感染:331 潜伏:447 発症:212 回復:9 死亡:1
Day:6 非感染:327 潜伏:353 発症:283 回復:31 死亡:6
Day:7 非感染:327 潜伏:246 発症:346 回復:67 死亡:14
Day:8 非感染:327 潜伏:134 発症:405 回復:114 死亡:20
Day:9 非感染:327 潜伏:47 発症:400 回復:199 死亡:27
Day:10 非感染:327 潜伏:12 発症:334 回復:291 死亡:36
Day:11 非感染:327 潜伏:1 発症:240 回復:388 死亡:44
Day:12 非感染:327 潜伏:0 発症:155 回復:463 死亡:55
Day:13 非感染:327 潜伏:0 発症:92 回復:516 死亡:65
Day:14 非感染:327 潜伏:0 発症:45 回復:558 死亡:70
Day:15 非感染:327 潜伏:0 発症:12 回復:588 死亡:73
Day:16 非感染:327 潜伏:0 発症:2 回復:597 死亡:74
Day:17 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:18 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:19 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:20 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:21 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:22 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:23 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:24 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:25 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:26 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:27 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:28 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:29 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
Day:30 非感染:327 潜伏:0 発症:0 回復:599 死亡:74
